"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"289952005","115668003","331","Lime pollen (substance)","Biological substance (substance)","Lime pollen","Pólen de tília"," "," "
"710178007","762766007","332","Linseed (substance)","Edible substance (substance)","Linseed","Linhaça","Sementes de linhaça"," "
"736162008","762766007","333","Lobster (substance)","Edible substance (substance)","Lobster","Lagosta"," "," "
"1264573001","115668003","334","Lolium perenne pollen (substance)","Biological substance (substance)","Lolium perenne pollen","Pólen de Lolium perenne","Pólen de azevém-perene"," "
"710731000","115668003","335","London plane pollen (substance)","Biological substance (substance)","London plane pollen","Pólen de plátano"," "," "
"710176006","762766007","336","Lovage (substance)","Edible substance (substance)","Lovage","Levístico"," "," "
"710901004","115668003","337","Lupin pollen (substance)                                                                                                                                                                     ","Biological substance (substance)","Lupin pollen","Pólen de lupino","Pólen de tremoceiro"," "
"710179004","762766007","338","Lupine seed (substance)","Edible substance (substance)","Lupine seed","Semente de tremoceiro","Tremoço"," "
"227433008","762766007","339","Lychee (substance)","Edible substance (substance)","Lychee","Lichia"," "," "
"13477003","115668003","340","Lysozyme (substance)","Biological substance (substance)","Lysozyme","Lisozima"," "," "
"227501001","762766007","341","Macadamia nut (substance)","Edible substance (substance)","Macadamia nut","Noz de macadamia "," "," "
"735043001","762766007","342","Mackerel (substance)","Edible substance (substance)","Mackerel","Cavalinha"," "," "
"710180001","115668003","343","Malt (substance)","Biological substance (substance)","Malt","Malte"," "," "
"1003736004","762766007","344","Mammalian milk based food (substance)","Edible substance (substance)","Mammalian milk based food","Alimentos à base de leite de mamíferos","Laticínios","Leite e seus derivados"
"1264563003","115668003","345","Mangifera indica pollen (substance)","Biological substance (substance)","Mangifera indica pollen","Pólen de Mangifera indica","Pólen de mangueira"," "
"260179008","762766007","346","Mango fruit (substance)                                                                                                                                                                       ","Edible substance (substance)","Mango fruit","Fruta manga","Manga"," "
"710181002","115668003","347","Mare's milk protein (substance)","Biological substance (substance)","Mare's milk protein","Proteína do leite de égua"," "," "
"226890008","762766007","348","Margarine (substance)","Edible substance (substance)","Margarine","Margarina "," "," "
"735977009","762766007","349","Marine crustacean (substance)","Edible substance (substance)","Marine crustacean","Crustáceo marinho"," "," "
"227405008","762766007","350","Marjoram (substance)","Edible substance (substance)","Marjoram","Manjerona"," "," "
"256279007","115668003","351","Meadow fescue pollen (substance)","Biological substance (substance)","Meadow fescue pollen","Pólen de festuca do prado"," "," "
"260100008","115668003","352","Meadow foxtail pollen (substance)","Biological substance (substance)","Meadow foxtail pollen","Pólen de cauda-de-raposa-dos-prados"," "," "
"28647000","762766007","353","Meat (substance)","Edible substance (substance)","Meat","Carne"," "," "
"716624002","115668003","354","Medicago sativa (substance)","Biological substance (substance)","Medicago sativa","Medicago sativa","Alfalfa"," "
"710175005","762766007","355","Megrim (substance)","Edible substance (substance)","Megrim","Linguado-areeiro"," "," "
"260177005","762766007","356","Melon (substance)","Edible substance (substance)","Melon","Melão"," "," "
"1284966008","115668003","357","Meriones unguiculatus hair (substance)","Biological substance (substance)","Meriones unguiculatus hair","Pelo de Meriones unguiculatus","Pelo de gerbo","Pelo de esquilo-da-mongólia"
"260133003","115668003","358","Mesquite pollen (substance)","Biological substance (substance)","Mesquite pollen","Pólen de algarobeira "," "," "
"425620007","37877001","359","Metal (substance)","Environmental agent (qualifier value)","Metal","Metal"," "," "
"2799001","37877001","360","Methylbenzethonium chloride (substance)","Environmental agent (qualifier value)","Methylbenzethonium chloride ","Cloreto de metilbenzetónio","Cloreto de metilbenzetónio"," "
"1268869001","762766007","361","Micropterus salmoides (substance)","Edible substance (substance)","Micropterus salmoides","Micropterus salmoides","Achigã"," "
"70813002","762766007","362","Milk (substance)","Edible substance (substance)","Milk","Leite "," "," "
"711083008","115668003","363","Mink epithelium (substance)","Biological substance (substance)","Mink epithelium","Epitélio de marta"," "," "
"230037009","762766007","364","Mint - herb (substance)                                                                                                                                              ","Edible substance (substance)","Mint - herb","Hortelã - erva","Hortelã"," "
"75665004","762766007","365","Monosodium glutamate (substance)","Edible substance (substance)","Monosodium glutamate","Glutamato monossódico"," "," "
"472728000","115668003","366","Morus alba pollen (substance)","Biological substance (substance)","Morus alba pollen","Pólen de Morus alba","Pólen de amoreira-branca"," "
"1284917006","762766007","367","Morus rubra (substance)","Edible substance (substance)","Morus rubra","Morus rubra","Amora vermelha"," "
"710929001","115668003","368","Mosquito salivary protein (substance)","Biological substance (substance)","Mosquito salivary protein","Proteína salivar do mosquito"," "," "
"710932003","115668003","369","Moth protein (substance)","Biological substance (substance)","Moth protein","Proteína de traça"," "," "
"260125004","115668003","370","Mountain juniper pollen (substance)","Biological substance (substance)","Mountain juniper pollen","Pólen de zimbro da montanha"," "," "
"256419000","115668003","371","Mouse epithelium (substance)","Biological substance (substance)","Mouse epithelium","Epitélio de murganho"," "," "
"260159000","115668003","372","Mouse serum proteins (substance)","Biological substance (substance)","Mouse serum proteins","Proteínas séricas de murganho"," "," "
"260156007","115668003","373","Mouse urine proteins (substance)","Biological substance (substance)","Mouse urine proteins","Proteínas da urina de murganho"," "," "
"226837009","762766007","374","Mozzarella cheese (substance)","Edible substance (substance)","Mozzarella cheese","Queijo mozzarella","Queijo mussarela"," "
"227434002","115668003","375","Mulberries (substance)","Biological substance (substance)","Mulberries","Amoras"," "," "
"227355001","762766007","376","Mung beans (substance)","Edible substance (substance)","Mung beans","Feijão mungo","Vigna radiata ","Feijão-da-china"
"1268880001","115668003","377","Mus musculus dropping (substance)","Biological substance (substance)","Mus musculus dropping","Excremento de Mus musculus","Excremento de murganho"," "
"735045008","762766007","378","Mushroom (substance)","Edible substance (substance)","Mushroom","Cogumelo"," "," "
"77188000","0","379","Mussel (organism)"," ","Mussel ","Mexilhão","Mexilhão"," "
"227150003","762766007","380","Mussel (substance)","Edible substance (substance)","Mussel","Mexilhão"," "," "
"51905005","762766007","381","Mustard (substance)","Edible substance (substance)","Mustard","Mostarda"," "," "
"710184005","115668003","382","Mutton (substance)","Biological substance (substance)","Mutton","Carne de carneiro","Carneiro"," "
"227435001","762766007","383","Nectarine (substance)","Edible substance (substance)","Nectarine","Nectarina"," "," "
"256298009","115668003","384","Nettle pollen (substance)","Biological substance (substance)","Nettle pollen","Pólen de urtiga"," "," "
"33396006","37877001","385","Nickel (substance)","Environmental agent (qualifier value)","Nickel","Níquel"," "," "
"276310004","0","386","Non-human hair - material (substance)"," ","Animal hair","Epitélio de animais","Pêlo de animais"," "
"13577000","762766007","387","Nut (substance)","Edible substance (substance)","Nut","Frutos secos"," "," "
"735046009","762766007","388","Nutmeg (substance)","Edible substance (substance)","Nutmeg","Noz-moscada"," "," "
"230034002","762766007","389","Nuts and seeds (substance)","Edible substance (substance)","Nuts and seeds","Nozes e sementes"," "," "
"256270006","115668003","390","Oak pollen (substance)","Biological substance (substance)","Oak pollen","Pólen de carvalho"," "," "
"418504009","115668003","391","Oat (substance)","Biological substance (substance)","Oat","Aveia"," "," "
"226725004","762766007","392","Oatmeal (substance)","Edible substance (substance)","Oatmeal","Flocos de aveia","Papa de aveia"," "
"735979007","762766007","393","Octopus (substance)","Edible substance (substance)","Octopus","Polvo"," "," "
"41834005","762766007","394","Olive oil (substance)","Edible substance (substance)","Olive oil","Azeite "," "," "
"260126003","115668003","395","Olive pollen (substance)                                                                                                                                                                     ","Biological substance (substance)","Olive pollen","Pólen de oliveira"," "," "
"227436000","762766007","396","Olives (substance)","Edible substance (substance)","Olives","Azeitonas"," "," "
"735047000","762766007","397","Onion (substance)","Edible substance (substance)","Onion","Cebola"," "," "
"256306003","762766007","398","Orange - fruit (substance)                                                                                                                                                                   ","Edible substance (substance)","Orange - fruit","Fruta laranja","Laranja"," "
"227130002","762766007","399","Orange roughy (substance)","Edible substance (substance)","Orange roughy","Peixe relógio","Hoplostethus atlanticus"," "
"227407000","762766007","400","Oregano (substance)","Edible substance (substance)","Oregano","Orégão"," "," "
"116549003","37877001","401","Organochlorine pesticide (substance)","Environmental agent (qualifier value)","Organochlorine pesticide","Pesticida organoclorado"," "," "
"119417004","37877001","402","Organophosphate insecticide (substance)","Environmental agent (qualifier value)","Organophosphate insecticide ","Organofosfatos","Pesticida organofosfato"," "
"74964007","0","403","Other (qualifier value)"," ","Other ","Outros agentes ou substâncias","Outros agentes ou substâncias"," "
"303301007","762766007","404","Ovalbumin (substance)","Edible substance (substance)","Ovalbumin","Ovalbumina"," "," "
"414983003","115668003","405","Ovomucin (substance)","Biological substance (substance)","Ovomucin","Ovomucina"," "," "
"260109009","115668003","406","Ox-eye daisy pollen (substance)                                                                                                                                                        ","Biological substance (substance)","Ox-eye daisy pollen","Pólen de margarida","Pólen de malmequer"," "
"72179002","37877001","407","Oxybenzone (substance)","Environmental agent (qualifier value)","Oxybenzone","Oxibenzona"," "," "
"736031006","762766007","408","Oyster (substance)","Edible substance (substance)","Oyster","Ostra"," "," "
"226907001","115668003","409","Palm oil (substance)","Biological substance (substance)","Palm oil","Óleo de palma"," "," "
"735212003","762766007","410","Papaya (substance)","Edible substance (substance)","Papaya","Papaia","Mamão"," "
"260194007","115668003","411","Paper wasp venom (substance)","Biological substance (substance)","Paper wasp venom","Veneno de vespa do papel"," "," "
"227408005","115668003","412","Paprika (substance)","Biological substance (substance)","Paprika","Paprika"," "," "
"255667006","37877001","413","Paraffin (substance)","Environmental agent (qualifier value)","Paraffin","Parafina"," "," "
"1268874009","115668003","414","Parakeet dropping (substance)","Biological substance (substance)","Parakeet dropping","Excremento de periquito"," "," "
"1268877002","115668003","415","Parakeet feather (substance)","Biological substance (substance)","Parakeet feather","Pena de periquito"," "," "
"71094007","115668003","416","Parietaria judaica pollen (substance)","Biological substance (substance)","Parietaria judaica pollen","Pólen de Parietaria judaica","Pólen de erva-das-muralhas","Pólen de Alfavaca"
"226838004","762766007","417","Parmesan cheese (substance)","Edible substance (substance)","Parmesan cheese","Queijo parmesão"," "," "
"1268875005","115668003","418","Parrot dropping (substance)","Biological substance (substance)","Parrot dropping","Excremento de papagaio"," "," "
"711067008","115668003","419","Parrot feathers (substance)","Biological substance (substance)","Parrot feathers","Penas de papagaio"," "," "
"735048005","762766007","420","Parsley (substance)","Edible substance (substance)","Parsley","Salsa"," "," "
"260102000","115668003","421","Paspalum notatum pollen (substance)","Biological substance (substance)","Paspalum notatum pollen","Pólen de Paspalum notatum","Pólen de grama-bahia"," "
"227438004","762766007","422","Passion fruit (substance)","Edible substance (substance)","Passion fruit","Maracujá"," "," "
"260184002","762766007","423","Pea (substance)","Edible substance (substance)","Pea","Ervilha"," "," "
"735049002","762766007","424","Peach (substance)","Edible substance (substance)","Peach","Pêssego"," "," "
"762952008","762766007","425","Peanut (substance)","Edible substance (substance)","Peanut","Amendoim"," "," "
"102260001","762766007","426","Peanut butter (substance)","Edible substance (substance)","Peanut butter","Manteiga de amendoim "," "," "
"735050002","762766007","427","Pear (substance)","Edible substance (substance)","Pear","Pêra"," "," "
"260189007","762766007","428","Pecan nut (substance)","Edible substance (substance)","Pecan nut","Noz pecã"," "," "
"410853002","37877001","429","Perfluorochemical (substance)","Environmental agent (qualifier value)","Perfluorochemical","Perfluor","Perfluorado","PFCs"
"418785009","37877001","430","Perfume (substance)","Environmental agent (qualifier value)","Perfume ","Perfume"," "," "
"59545008","37877001","431","Pesticide (substance)","Environmental agent (qualifier value)","Pesticide ","Pesticida"," "," "
"1284970000","762766007","432","Phaseolus vulgaris (substance)","Edible substance (substance)","Phaseolus vulgaris","Phaseolus vulgaris","Feijão comum"," "
"710730004","115668003","433","Phoenix canariensis pollen (substance)","Biological substance (substance)","Phoenix canariensis pollen","Pólen de Phoenix canariensis ","Pólen de palmeira"," "
"260155006","115668003","434","Pigeon droppings (substance)","Biological substance (substance)","Pigeon droppings","Excrementos de pombo"," "," "
"303316005","115668003","435","Pigeon feathers (substance)","Biological substance (substance)","Pigeon feathers","Penas de pombo"," "," "
"765099008","762766007","436","Pilchard (substance)                                                                                                                              ","Edible substance (substance)","Pilchard","Sardinha europeia"," "," "
"227511008","762766007","437","Pine nut (substance)","Edible substance (substance)","Pine nut","Pinhão"," "," "
"256267007","115668003","438","Pine pollen (substance)","Biological substance (substance)","Pine pollen","Pólen de pinheiro"," "," "
"227360002","762766007","439","Pinto beans (substance)","Edible substance (substance)","Pinto beans","Feijão carioca"," "," "
"1285136005","115668003","440","Pinus echinata pollen (substance)","Biological substance (substance)","Pinus echinata pollen","Pólen de Pinus echinata","Pólen de pinheiro-de-folha-curta"," "
"1268368002","115668003","441","Pinus elliottii pollen (substance)","Biological substance (substance)","Pinus elliottii pollen","Pólen de Pinus elliottii"," "," "
"1285120008","115668003","442","Pinus monticola pollen (substance)","Biological substance (substance)","Pinus monticola pollen","Pólen de Pinus monticola"," "," "
"1268361008","115668003","443","Pinus palustris pollen (substance)","Biological substance (substance)","Pinus palustris pollen","Pólen de Pinus palustris"," "," "
"1268315008","115668003","444","Pinus pinea pollen (substance)","Biological substance (substance)","Pinus pinea pollen","Pólen de Pinus pinea","Pólen de pinheiro-manso"," "
"260129005","115668003","445","Pinus strobus pollen (substance)","Biological substance (substance)","Pinus strobus pollen","Pólen de Pinus strobus","Pólen de pinheiro branco"," "
"1268359004","115668003","446","Pinus taeda pollen (substance)","Biological substance (substance)","Pinus taeda pollen","Pólen de Pinus taeda","Pólen de pinheiro-amarelo","Pólen de pinheiro-rabo-de-raposa"
"1285119002","115668003","447","Pinus virginiana pollen (substance)","Biological substance (substance)","Pinus virginiana pollen","Pólen de Pinus virginiana"," "," "
"1137358000","762766007","448","Piper (substance)","Edible substance (substance)","Piper","Piper","Pimenta"," "
"227512001","762766007","449","Pistachio nut (substance)","Edible substance (substance)","Pistachio nut","Pistáchio"," "," "
"227083008","762766007","450","Plaice (substance)","Edible substance (substance)","Plaice","Solha"," "," "
"1268404004","762766007","451","Pleurotus ostreatus (substance)","Edible substance (substance)","Pleurotus ostreatus","Pleurotus ostreatus","cogumelo-ostra"," "
"735051003","762766007","452","Plum (substance)","Edible substance (substance)","Plum","Ameixa"," "," "
"387398009","115668003","453","Podophyllum resin(substance)","Biological substance (substance)","Podophyllum resin","Resina de podofilina","Podofilina"," "
"1263993009","115668003","454","Polistes dominula venom (substance)","Biological substance (substance)","Polistes dominula venom","Veneno de Polistes dominula ","Veneno de vespa-do-papel-europeia "," "
"256259004","115668003","455","Pollen (substance)","Biological substance (substance)","Pollen ","Pólen","Pólenes"," "
"256504004","37877001","456","Polycarbonate dental material (substance)","Environmental agent (qualifier value)","Polycarbonate dental material ","Material dentário em policarboneto","Material dentário em policarboneto"," "
"83619009","37877001","457","Polyvinyl alcohol (substance)","Environmental agent (qualifier value)","Polyvinyl alcohol ","Álcool polivinílico","PVA"," "
"227441008","762766007","458","Pomegranate (substance)","Edible substance (substance)","Pomegranate","Romã"," "," "
"840574007","115668003","459","Ponderosa pine pollen (substance)","Biological substance (substance)","Ponderosa pine pollen","Pólen de pinheiro-ponderosa","Pólen de Pinus ponderosa"," "
"227409002","762766007","460","Poppy seed (substance)","Edible substance (substance)","Poppy seed","Semente de papoila"," "," "
"1284918001","762766007","461","Porcine gelatin (substance)","Edible substance (substance)","Porcine gelatin","Gelatina porcina"," "," "
"226934003","762766007","462","Pork (substance)","Edible substance (substance)","Pork","Carne de porco","Porco"," "
"67296003","115668003","463","Pork insulin (substance)","Biological substance (substance)","Pork insulin","Insulina de porco"," "," "
"19893005","37877001","464","Potassium dichromate (substance)","Environmental agent (qualifier value)","Potassium dichromate","Dicromato de potássio"," "," "
"735053000","762766007","465","Potato (substance)","Edible substance (substance)","Potato","Batata"," "," "
"28230009","762766007","466","Poultry (substance)","Edible substance (substance)","Poultry","Ave de capoeira"," "," "
"227151004","762766007","467","Prawns (substance)","Edible substance (substance)","Prawns","Camarões "," "," "
"1259877007","762766007","468","Provolone cheese (substance)","Edible substance (substance)","Provolone cheese","Queijo provolone"," "," "
"227462009","762766007","469","Prunes (substance)","Edible substance (substance)","Prunes","Ameixa seca"," "," "
"52370008","115668003","470","Psyllium (substance)","Biological substance (substance)","Psyllium","Psyllium","Psílio"," "
"227260004","762766007","471","Pumpkin (substance)","Edible substance (substance)","Pumpkin","Abóbora"," "," "
"227514000","762766007","472","Pumpkin seed (substance)","Edible substance (substance)","Pumpkin seed","Semente de abóbora"," "," "
"311846002","37877001","473","Pyrethroid insecticide (substance)","Environmental agent (qualifier value)","Pyrethroid insecticide","Piretroide"," "," "
"1284920003","115668003","474","Pyrus communis pollen (substance)","Biological substance (substance)","Pyrus communis pollen","Pólen de Pyrus communis ","Pólen de pereira"," "
"260138007","115668003","475","Queen palm pollen (substance)","Biological substance (substance)","Queen palm pollen","Pólen de palmeira real"," "," "
"1285308008","115668003","476","Quercus agrifolia pollen (substance)","Biological substance (substance)","Quercus agrifolia pollen","Pólen de Quercus agrifolia"," "," "
"472721006","115668003","477","Quercus alba pollen (substance)","Biological substance (substance)","Quercus alba pollen","Pólen de Quercus alba","Pólen de carvalho-branco"," "
"1268303009","115668003","478","Quercus gambelii pollen (substance)","Biological substance (substance)","Quercus gambelii pollen","Pólen de Quercus gambelii","Pólen de carvalho Gambel"," "
"1268311004","115668003","479","Quercus ilex pollen (substance)","Biological substance (substance)","Quercus ilex pollen","Pólen de Quercus ilex","Azinheira"," "
"1285309000","115668003","480","Quercus kelloggii pollen (substance)","Biological substance (substance)","Quercus kelloggii pollen","Pólen de Quercus kelloggii","Pólen de carvalho negro da Califórnia"," "
"1268307005","115668003","481","Quercus lobata pollen (substance)","Biological substance (substance)","Quercus lobata pollen","Pólen de Quercus lobata","Pólen de carvalho do vale "," "
"472722004","115668003","482","Quercus rubra pollen (substance)","Biological substance (substance)","Quercus rubra pollen","Pólen de Quercus rubra","Pólen de carvalho-americano"," "
"1285419005","115668003","483","Quercus velutina pollen (substance)","Biological substance (substance)","Quercus velutina pollen","Pólen de Quercus velutina"," "," "
"472712005","115668003","484","Quercus virginiana pollen (substance)","Biological substance (substance)","Quercus virginiana pollen","Pólen de Quercus virginiana","Pólen de carvalho do sul"," "
"1268309008","115668003","485","Quercus wislizeni pollen (substance)","Biological substance (substance)","Quercus wislizeni pollen","Pólen de Quercus wislizeni "," "," "
"1268406002","115668003","486","Quercus wood dust (substance)","Biological substance (substance)","Quercus wood dust","Pó de madeira de Quercus","Pó de madeira de carvalho"," "
"227515004","762766007","487","Quinoa (substance)","Edible substance (substance)","Quinoa","Quinoa"," "," "
"710183004","762766007","488","Rabbit - meat (substance)","Edible substance (substance)","Rabbit - meat","Coelho - carne","Carne de coelho"," "
"88818001","0","489","Rabbit (organism)"," ","Rabbit","Coelho","Carne de Coelho"," "
"412153009","115668003","490","Rabbit dander (substance)","Biological substance (substance)","Rabbit dander","Partículas de pele de coelho","Pelo de coelho","Caspa de coelho"
"256421005","115668003","491","Rabbit epithelium (substance)","Biological substance (substance)","Rabbit epithelium","Epitélio de coelho"," "," "
"711084002","115668003","492","Rabbit serum protein (substance)","Biological substance (substance)","Rabbit serum protein","Proteína sérica de coelho"," "," "
"711085001","115668003","493","Rabbit urine protein (substance)","Biological substance (substance)","Rabbit urine protein","Proteína de urina de coelho"," "," "
"256303006","115668003","494","Ragweed pollen (substance)","Biological substance (substance)","Ragweed pollen","Pólen de ambrósia"," "," "
"227463004","762766007","495","Raisins (substance)","Edible substance (substance)","Raisins","Passas "," "," "
"260121008","115668003","496","Rape pollen (substance)","Biological substance (substance)","Rape pollen","Pólen de colza","Pólen de couve-nabiça"," "
"710039005","115668003","497","Rape seed (substance)","Biological substance (substance)","Rape seed","Semente de colza","Semente de couve-nabiça"," "
"227444000","762766007","498","Raspberries (substance)","Edible substance (substance)","Raspberries","Framboesas","Framboesa"," "
"256422003","115668003","499","Rat epithelium (substance)","Biological substance (substance)","Rat epithelium","Epitélio de rato"," "," "
"260158008","115668003","500","Rat serum proteins (substance)","Biological substance (substance)","Rat serum proteins","Proteínas séricas de rato"," "," "
"260157003","115668003","501","Rat urine proteins (substance)","Biological substance (substance)","Rat urine proteins","Proteínas de urina de rato"," "," "
"227362005","762766007","502","Red kidney beans (substance)","Edible substance (substance)","Red kidney beans","Feijão vermelho"," "," "
"226915003","762766007","503","Red meat (substance)","Edible substance (substance)","Red meat","Carne vermelha"," "," "
"726752001","762766007","504","Red snapper (substance)","Edible substance (substance)","Red snapper","Luciano-do-Golfo"," "," "
"227445004","762766007","505","Redcurrants (substance)","Edible substance (substance)","Redcurrants","Groselha"," "," "
"1284940005","762766007","506","Ribes uva-crispa (substance)","Edible substance (substance)","Ribes uva-crispa","Ribes uva-crispa","Groselheira-comum"," "
"67324005","762766007","507","Rice (substance)","Edible substance (substance)","Rice","Arroz"," "," "
"472727005","115668003","508","Robinia pseudoacacia pollen (substance)","Biological substance (substance)","Robinia pseudoacacia pollen","Pólen de Robinia pseudoacacia","Pólen de acácia-bastarda"," "
"1259876003","762766007","509","Romano cheese (substance)","Edible substance (substance)","Romano cheese","Queijo romano"," "," "
"226840009","762766007","510","Roquefort cheese (substance)","Edible substance (substance)","Roquefort cheese","Queijo Roquefort"," "," "
"51503008","115668003","511","Rose oil (substance)","Biological substance (substance)","Rose oil","Óleo de rosa"," "," "
"260115009","115668003","512","Rough marshelder pollen (substance)","Biological substance (substance)","Rough marshelder pollen","Pólen de sabigueiro dos pântanos"," "," "
"43230003","37877001","513","Rubber (substance)","Environmental agent (qualifier value)","Rubber ","Borracha"," "," "
"1268326002","115668003","514","Rumex crispus pollen (substance)","Biological substance (substance)","Rumex crispus pollen","Pólen de Rumex crispus","Pólen de regalo-da-horta","Pólen de labaça"
"1285310005","115668003","515","Rumex obtusifolius pollen (substance)","Biological substance (substance)","Rumex obtusifolius pollen","Pólen de Rumex obtusifolius","Azeda-de-folha-larga","Labaça-de-folha-larga"
"412068007","762766007","516","Rye (substance)","Edible substance (substance)","Rye","Centeio"," "," "
"256280005","115668003","517","Rye grass pollen (substance)","Biological substance (substance)","Rye grass pollen","Pólen de azevém"," "," "
"765320007","115668003","518","Saccharomyces cerevisiae (substance)","Biological substance (substance)","Saccharomyces cerevisiae","Saccharomyces cerevisiae","Levedura de cerveja"," "
"1268305002","115668003","519","Saccharum officinarum pollen (substance)","Biological substance (substance)","Saccharum officinarum pollen","Pólen de Saccharum officinarum","Pólen de cana-de-açúcar"," "
"735010000","762766007","520","Saffron (substance)","Edible substance (substance)","Saffron","Açafrão"," "," "
"38271009","37877001","521","Saffron stain (substance)","Environmental agent (qualifier value)","Saffron stain","Corante de açafrão"," "," "
"227411006","762766007","522","Sage (substance)","Edible substance (substance)","Sage","Sálvia"," "," "
"1268370006","115668003","523","Salix alba pollen (substance)","Biological substance (substance)","Salix alba pollen","Pólen de Salix alba","Pólen de salgueiro-branco"," "
"1285307003","115668003","524","Salix discolor pollen (substance)","Biological substance (substance)","Salix discolor pollen","Pólen de Salix descolor","Pólen de salgueiro-gato"," "
"1264511005","115668003","525","Salix nigra pollen (substance)","Biological substance (substance)","Salix nigra pollen","Pólen de Salix nigra"," "," "
"735009005","762766007","526","Salmon (substance)","Edible substance (substance)","Salmon","Salmão"," "," "
"260111000","115668003","527","Salsola kali pollen (substance)","Biological substance (substance)","Salsola kali pollen","Pólen de Salsola kali"," "," "
"128489003","37877001","528","Sand (substance)","Environmental agent (qualifier value)","Sand ","Areia"," "," "
"227136008","762766007","529","Sardine (substance)","Edible substance (substance)","Sardine","Sardinha "," "," "
"736027000","762766007","530","Scallop (substance)","Edible substance (substance)","Scallop","Vieira"," "," "
"472734007","115668003","531","Schinus pollen (substance)","Biological substance (substance)","Schinus pollen","Pólen de Schinus","Pólen de aroeira"," "
"1263992004","762766007","532","Scomber japonicus (substance)","Edible substance (substance)","Scomber japonicus","Scomber japonicus","Cavala"," "
"303314008","115668003","533","Scorpion venom (substance)","Biological substance (substance)","Scorpion venom ","Veneno de escorpião"," "," "
"44027008","762766007","534","Seafood (substance)","Edible substance (substance)","Seafood","Frutos do mar","Alimentos de origem marinha"," "
"264337003","762766007","535","Seed (substance)","Edible substance (substance)","Seed","Semente","Caroço"," "
"6993007","115668003","536","Seminal fluid (substance)","Biological substance (substance)","Seminal fluid","Fluido seminal","Sémen"," "
"1268879004","115668003","537","Serinus canaria dropping (substance)","Biological substance (substance)","Serinus canaria dropping","Excremento de Serinus canaria","Excremento de canário"," "
"260167008","762766007","538","Sesame seed (substance)","Edible substance (substance)","Sesame seed","Sementes de sésamo"," "," "
"227447007","762766007","539","Sharon fruit (substance)","Edible substance (substance)","Sharon fruit","Dióspiro"," "," "
"260162002","115668003","540","Sheep epithelium (substance)","Biological substance (substance)","Sheep epithelium","Epitélio de ovelha"," "," "
"226791004","762766007","541","Sheep milk (substance)","Edible substance (substance)","Sheep milk","Leite de ovelha"," "," "
"260117001","115668003","542","Sheep sorrel pollen (substance)","Biological substance (substance)","Sheep sorrel pollen","Pólen de azeda-dos-ovinos","Pólen de azeda-dos-noivos","Pólen de azeda-mansa"
"735029006","762766007","543","Shellfish (substance)","Edible substance (substance)","Shellfish","Marisco","Crustáceos"," "
"278840001","762766007","544","Shrimp (substance)","Edible substance (substance)","Shrimp","Camarão"," "," "
"51420009","0","545","Silicon (substance)"," ","Silicone ","Silicone e seus derivados","Silicone "," "
"13652007","37877001","546","Silicone (substance)","Environmental agent (qualifier value)","Silicone","Silicone","Silicone"," "
"412156001","115668003","547","Silk (substance)","Biological substance (substance)","Silk","Seda"," "," "
"1285427001","115668003","548","Silk waste (substance)","Biological substance (substance)","Silk waste","Resíduo de seda"," "," "
"41967008","37877001","549","Silver (substance)","Environmental agent (qualifier value)","Silver","Prata"," "," "
"15838006","0","550","Snail (organism)"," ","Snail ","Caracol","Caracóis"," "
"1264462006","762766007","551","Solea solea (substance)","Edible substance (substance)","Solea solea","Solea Solea","Linguado comum"," "
"1293222009","115668003","552","Solenopsis invicta venom (substance)","Biological substance (substance)","Solenopsis invicta venom","Veneno de Solenopsis invicta","Veneno de formiga-de-fogo-vermelha"," "
"710939007","115668003","553","Solenopsis venom (substance)","Biological substance (substance)","Solenopsis venom","Veneno de Solenopsis","Veneno de formiga-de-fogo"," "
"7791007","762766007","554","Soy protein (substance)","Edible substance (substance)","Soy protein","Proteína de soja"," "," "
"1268405003","762766007","555","Sparus aurata (substance)","Edible substance (substance)","Sparus aurata","Sparus aurata","Dourada"," "
"24515005","762766007","556","Spice (substance)","Edible substance (substance)","Spice","Especiaria","Especiarias"," "
"303315009","115668003","557","Spider venom (substance)","Biological substance (substance)","Spider venom ","Veneno de aranha"," "," "
"256329006","762766007","558","Spinach (substance)","Edible substance (substance)","Spinach","Espinafre"," "," "
"710185006","762766007","559","Spiny lobster (substance)","Edible substance (substance)","Spiny lobster","Lagosta espinhosa"," "," "
"256273008","115668003","560","Spruce pollen (substance)","Biological substance (substance)","Spruce pollen","Pólen de abeto"," "," "
"735006003","762766007","561","Squid (substance)","Edible substance (substance)","Squid","Lula"," "," "
"256506002","37877001","562","Stainless steel material (substance)","Environmental agent (qualifier value)","Stainless steel material","Material de aço inoxidável"," "," "
"418950004","115668003","563","Staphylococcus aureus enterotoxin A (substance)","Biological substance (substance)","Staphylococcus aureus enterotoxin A","Staphylococcus aureus enterotoxina A"," "," "
"419488004","115668003","564","Staphylococcus aureus enterotoxin B (substance)","Biological substance (substance)","Staphylococcus aureus enterotoxin B","Staphylococcus aureus enterotoxina B"," "," "
"418864000","115668003","565","Staphylococcus aureus enterotoxin C (substance)","Biological substance (substance)","Staphylococcus aureus enterotoxin C","Staphylococcus aureus enterotoxina C"," "," "
