"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"735211005","762766007","153","Coconut (substance)","Edible substance (substance)","Coconut","Coco"," "," "
"735245003","762766007","154","Cod (substance)","Edible substance (substance)","Cod","Bacalhau"," "," "
"29263009","762766007","155","Coffee (substance)","Edible substance (substance)","Coffee","Café"," "," "
"311443003","115668003","156","Coffee bean dust (substance)","Biological substance (substance)","Coffee bean dust","Pó de grão de café"," "," "
"710220009","115668003","157","Common millet (substance)","Biological substance (substance)","Common millet","Milho-miúdo","Milheto","Painço-vermelho"
"260091002","115668003","158","Common reed pollen (substance)","Biological substance (substance)","Common reed pollen","Pólen de carrizo","Pólen de Phragmites australis"," "
"260193001","115668003","159","Common wasp venom (substance)","Biological substance (substance)","Common wasp venom","Veneno de vespa comum "," "," "
"406473004","0","160","Contact allergen (substance)"," ","Contact allergen","Alergénico de contacto","Níquel e outros metais de contacto"," "
"66925006","37877001","161","Copper (substance)","Environmental agent (qualifier value)","Copper","Cobre"," "," "
"227390009","762766007","162","Coriander leaf (substance)","Edible substance (substance)","Coriander leaf","Folha de coentro"," "," "
"227391008","762766007","163","Coriander seed (substance)","Edible substance (substance)","Coriander seed","Semente de coentro"," "," "
"412357001","762766007","164","Corn (substance)","Edible substance (substance)","Corn","Milho"," "," "
"229936000","762766007","165","Cornflour (substance)","Edible substance (substance)","Cornflour","Farinha de milho"," "," "
"289122001","37877001","166","Cosmetic material (substance)","Environmental agent (qualifier value)","Cosmetic material","Cosméticos"," "," "
"226814003","762766007","167","Cottage cheese (substance)","Edible substance (substance)","Cottage cheese","Queijo tipo cottage"," "," "
"89889006","115668003","168","Cotton fiber (substance)","Biological substance (substance)","Cotton fiber","Fibra de algodão"," "," "
"260204008","762766007","169","Cotton seed (substance)","Edible substance (substance)","Cotton seed","Semente de algodão"," "," "
"712720004","115668003","170","Cottonwood pollen (substance)","Biological substance (substance)","Cottonwood pollen","Pólen de álamo"," "," "
"260153004","115668003","171","Cow dander (substance)","Biological substance (substance)","Cow dander","Partículas de pele de vaca","Pelo de vaca","Caspa de vaca"
"3718001","762766007","172","Cow's milk (substance)","Edible substance (substance)","Cow's milk","Leite de vaca"," "," "
"264295007","762766007","173","Cow's milk protein (substance)","Edible substance (substance)","Cow's milk protein","Proteína do leite de vaca"," "," "
"736159005","762766007","174","Crab (substance)","Edible substance (substance)","Crab","Caranguejo"," "," "
"227421003","762766007","175","Cranberries (substance)","Edible substance (substance)","Cranberries","Arandos"," "," "
"735972003","762766007","176","Crayfish (substance)","Edible substance (substance)","Crayfish","Lagostim"," "," "
"226849005","762766007","177","Cream cheese (substance)","Edible substance (substance)","Cream cheese","Queijo cremoso"," "," "
"735213008","762766007","178","Cucumber (substance)","Edible substance (substance)","Cucumber","Pepino"," "," "
"1264568007","762766007","179","Cucumis melo (substance)","Edible substance (substance)","Cucumis melo","Cucumis melo","Melão"," "
"260097003","115668003","180","Cultivated rye pollen (substance)","Biological substance (substance)","Cultivated rye pollen","Pólen de centeio cultivado"," "," "
"260099000","115668003","181","Cultivated wheat pollen (substance)","Biological substance (substance)","Cultivated wheat pollen","Pólen de trigo cultivado"," "," "
"227392001","762766007","182","Cumin seed (substance)","Edible substance (substance)","Cumin seed","Semente de cominho"," "," "
"1268858004","115668003","183","Cupressus arizonica pollen (substance)","Biological substance (substance)","Cupressus arizonica pollen","Pólen de Cupressus arizonica","Pólen de cipreste do arizona"," "
"227395004","762766007","184","Curry powder (substance)","Edible substance (substance)","Curry powder","Caril em pó"," "," "
"38946001","0","185","Cuttlefish (organism)"," ","Cuttlefish ","Choco","Chocos"," "
"726759005","762766007","186","Cuttlefish (substance)","Edible substance (substance)","Cuttlefish","Choco"," "," "
